SalesOrderNumber,SalesOrderLineNumber,OrderDate,CustomerName,EmailAddress,Item,Quantity,UnitPrice,TaxAmount
SO45728,1,2024-02-21,Madison Hughes,madison47@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45731,1,2024-02-21,Hunter Griffin,hunter16@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45734,1,2024-02-21,Haley Powell,haley27@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45733,1,2024-02-21,Ryan Smith,ryan39@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45732,1,2024-02-21,Dakota Ross,dakota3@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45739,1,2024-02-21,Kate Raji,kate18@adventure-works.com,"Mountain-100 Black, 38",1,3374.99,269.9992
SO45738,1,2024-02-21,Byron Carlson,byron12@adventure-works.com,"Mountain-100 Silver, 44",1,3399.99,271.9992
SO45736,1,2024-02-21,Phil Spencer,phil0@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45737,1,2024-02-21,Jay Lopez,jay23@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45735,1,2024-02-21,Cristina Nara,cristina15@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45729,1,2024-02-21,Robin Sanz,robin15@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45730,1,2024-02-21,Phillip Sullivan,phillip14@adventure-works.com,"Mountain-100 Black, 44",1,3374.99,269.9992
SO45727,1,2024-02-20,Nichole She,nichole0@adventure-works.com,"Mountain-100 Black, 44",1,3374.99,269.9992
SO45723,1,2024-02-20,Katelyn Sanchez,katelyn26@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45724,1,2024-02-20,Maurice Lal,maurice9@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45726,1,2024-02-20,Lance Gill,lance13@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45725,1,2024-02-20,Rosa Zhang,rosa0@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45720,1,2024-02-19,Tina Gonzalez,tina20@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45719,1,2024-02-19,Elijah Diaz,elijah23@adventure-works.com,"Mountain-100 Black, 44",1,3374.99,269.9992
SO45721,1,2024-02-19,Candace Raman,candace12@adventure-works.com,"Mountain-100 Silver, 42",1,3399.99,271.9992
SO45718,1,2024-02-19,Lauren Martinez,lauren35@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45717,1,2024-02-19,Elijah Ross,elijah7@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45722,1,2024-02-19,Rafael Tang,rafael27@adventure-works.com,"Mountain-100 Black, 48",1,3374.99,269.9992
SO45713,1,2024-02-18,Colleen Cai,colleen22@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45714,1,2024-02-18,Cameron Lewis,cameron39@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45715,1,2024-02-18,Rosa Liang,rosa16@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45716,1,2024-02-18,Tony Kumar,tony10@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45709,1,2024-02-17,Tina Smith,tina10@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45710,1,2024-02-17,Geoffrey Fernandez,geoffrey13@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45708,1,2024-02-17,Ruben Patel,ruben3@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45711,1,2024-02-17,Mariah Barnes,mariah7@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45705,1,2024-02-17,Jackson Phillips,jackson36@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45706,1,2024-02-17,David Diaz,david55@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45712,1,2024-02-17,Meagan Madan,meagan8@adventure-works.com,"Mountain-100 Silver, 44",1,3399.99,271.9992
SO45707,1,2024-02-17,Kaylee Cook,kaylee18@adventure-works.com,"Mountain-100 Silver, 42",1,3399.99,271.9992
SO45704,1,2024-02-17,Stacy Torres,stacy12@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45701,1,2024-02-16,Nicole Taylor,nicole9@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45700,1,2024-02-16,Jonathan Phillips,jonathan35@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45702,1,2024-02-16,Ann Malhotra,ann10@adventure-works.com,"Road-650 Red, 58",1,699.0982,55.9279
SO45703,1,2024-02-16,Darryl Liu,darryl4@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45698,1,2024-02-15,Aidan Wood,aidan2@adventure-works.com,"Road-650 Red, 44",1,699.0982,55.9279
SO45699,1,2024-02-15,Mary Green,mary28@adventure-works.com,"Road-650 Black, 62",1,699.0982,55.9279
SO45693,1,2024-02-15,Teresa Gutierrez,teresa11@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45694,1,2024-02-15,Morgan Bennett,morgan71@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45692,1,2024-02-15,Victor Carlson,victor18@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45696,1,2024-02-15,Rafael Xie,rafael26@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45695,1,2024-02-15,Seth Phillips,seth42@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
